UHH (Umur Harapan Hidup),HLS (Harapan Lama Sekolah),RLS (Rata-rata Lama Sekolah),Pengeluaran
0.776276276,0.081705151,0.30458221,0.393695642
0.698948949,0.13321492,0.320754717,0.437284472
0.667417417,0.087033748,0.264150943,0.35014963
0.53003003,0.163410302,0.315363881,0.403543806
0.346846847,0.106571936,0.246630728,0.42311168
0.938438438,0.422735346,0.801886792,0.513200971
0.967717718,0.55062167,0.831536388,0.621702048
0.967717718,0.635879218,0.814016173,0.661779794
0.976726727,0.724689165,0.82884097,0.637416292
0.753003003,0.243339254,0.567385445,0.526817129
0.756756757,0.262877442,0.530997305,0.548996907
0.818318318,0.500888099,0.578167116,5.58776E-05
0.708708709,0.641207815,0.672506739,0.000299427
0.728228228,0.271758437,0.355795148,3.29699E-05
0.786036036,0.939609236,0.849056604,0.000319038
0.768018018,1,0.954177898,0.000438286
0.548048048,0.211367673,0.381401617,5.73763E-06
0.616366366,0.406749556,0.378706199,4.42311E-05
0.685435435,0.124333925,0.392183288,4.31178E-05
0.714714715,0.289520426,0.498652291,8.82909E-05
0.671171171,0.181172291,0.392183288,8.28102E-05
0.611861862,0.257548845,0.447439353,0.000105333
0.603603604,0.257548845,0.380053908,6.21291E-05
0.411411411,0.065719361,0.249326146,2.30361E-05
0.339339339,0.317939609,0.230458221,2.98442E-05
0.459459459,0.225577265,0.371967655,0.00014708
0.153903904,0.271758437,0.169811321,8.71777E-05
0.338588589,0.282415631,0.235849057,5.56207E-05
0.186936937,0.115452931,0.181940701,9.87814E-05
0.434684685,0.156305506,0.332884097,6.59399E-05
0.720720721,0.591474245,0.79245283,0.000247275
0.602102102,0.197158082,0.514824798,0.000173884
0.587087087,0.278863233,0.518867925,0.000111584
0.527777778,0.252220249,0.438005391,0.000144511
0.506756757,0.303730018,0.432614555,0.000126656
0.606606607,0.410301954,0.483827493,0.000134706
0.578078078,0.223801066,0.339622642,0.000119634
0.514264264,0.165186501,0.324797844,6.56402E-05
0.50975976,0.136767318,0.291105121,7.0864E-05
0.587087087,0.362344583,0.467654987,0.000116251
0.618618619,0.406749556,0.619946092,0.000190626
0.429429429,0.028419183,0.130727763,0
0.268018018,0.060390764,0,7.53599E-06
0.225225225,0.390763766,0.26819407,6.12299E-06
0.504504505,0.293072824,0.117250674,1.40872E-05
0.719219219,0.628774423,0.747978437,0.000153417
0.686186186,0.461811723,0.746630728,0.000214005
0.653903904,0.706927176,0.781671159,0.000332483
0.433933934,0.380106572,0.556603774,0.00014571
0.522522523,0.385435169,0.638814016,0.000194309
0.65990991,0.426287744,0.758760108,0.0002039
0.628378378,0.495559503,0.909703504,0.000309275
0.732732733,0.596802842,0.822102426,0.000375258
0.611861862,0.465364121,0.594339623,0.000174398
